AccountID,User ID,Account Type,Password,Date Created,Account Status
230069BB,210Admin,@Admin,AdminPass,Fri Nov 12 2021,1
230199UF,220199UF,@Member,kimkardashian,Mon Nov 22 2021,1
230114CO,220114CO,@Member,kimkardashian,Mon Nov 22 2021,1
230191NO,220109IV,@Member,,Mon Nov 29 2021,0
230173ZZ,220163KK,@Member,andrewsamuel,Mon Nov 29 2021,1
230188PR,220113WC,@Member,hhhhhhhhh,Mon Nov 29 2021,1
230158WH,220106IB,@Member,uuuuhhhhhhhhhh,Mon Nov 29 2021,0
230108VZ,220133CI,@Member,amykaren,Wed Dec 1 2021,1
230117WL,220196AL,@Member,hddjsdhjshd,Wed Dec 1 2021,1
230115MG,220177XL,@Member,wsssssssssss,Wed Dec 1 2021,1
